user_id,Monetary_title,score_exclusive_discount,score_free_cancellation,score_free_checkedbag,score_free_meal,score_free_night_flight,top_perk
94883,Low Spenders,0.35714285714285715,0.08588957055214723,0.33333333333333337,0.3233333333333333,0.185,score_exclusive_discount
101486,Medium Spenders,0.33333333333333337,0.06972111553784861,0.1,0.3933333333333333,0.215,score_free_meal
101961,High Spenders,0.2666666666666666,0.09641873278236915,0.3066666666666667,0.3886666666666666,0.4755,score_free_night_flight
106907,0,0.9285714285714286,0.0,0.0,0.0,0.0,score_exclusive_discount
118043,Champions,0.625,0.06743737957610789,0.2826666666666667,0.3426666666666667,0.4815,score_exclusive_discount
125845,Medium Spenders,0.6071428571428572,0.06937561942517344,0.33333333333333337,0.33896666666666664,0.25003333333333333,score_exclusive_discount
133058,At Risk,0.4285714285714286,0.09345794392523363,0.2,0.0,0.0875,score_exclusive_discount
152583,At Risk,0.4166666666666667,0.07231404958677685,0.7333333333333334,0.3466666666666667,0.1075,score_free_checkedbag
153982,Low Spenders,0.2857142857142857,0.0691699604743083,0.28800000000000003,0.33103333333333335,0.27579999999999993,score_free_meal
160754,At Risk,0.5,0.05490196078431372,0.4666666666666667,0.3466666666666667,0.1075,score_exclusive_discount
164522,High Spenders,0.6666666666666666,0.07099391480730223,0.4666666666666667,0.6033333333333333,0.2175,score_exclusive_discount
167852,0,0.5,0.0,0.0,0.0,0.0,score_exclusive_discount
171470,0,1.0,0.0,0.0,0.0,0.0,score_exclusive_discount
174997,Low Spenders,0.4666666666666667,0.07734806629834254,0.2,0.3466666666666667,0.2825,score_exclusive_discount
175032,Champions,0.5,0.10174418604651163,0.26666666666666666,0.40103333333333335,0.2766333333333333,score_exclusive_discount
181157,Champions,0.7333333333333333,0.10086455331412103,0.33333333333333337,0.3777,0.29579999999999995,score_exclusive_discount
182191,0,0.75,0.0,0.0,0.0,0.0,score_exclusive_discount
187212,Medium Spenders,0.25,0.07231404958677685,0.3786666666666667,0.3466666666666667,0.2825,score_free_checkedbag
189676,Champions,0.35714285714285715,0.12704174228675136,0.27866666666666673,0.51,0.265,score_free_meal
190866,High Spenders,0.1875,0.08009153318077802,0.3066666666666667,0.3466666666666667,0.4088888888888889,score_free_night_flight
195192,Low Spenders,0.4166666666666667,0.04250151791135398,0.2,0.3233333333333333,0.09749999999999999,score_exclusive_discount
204943,Champions,0.3333333333333333,0.07253886010362694,0.44,0.37,0.6425,score_free_night_flight
204997,At Risk,0.625,0.07891770011273955,0.33333333333333337,0.2866666666666666,0.4575,score_exclusive_discount
205044,Champions,0.875,0.09138381201044385,0.28800000000000003,0.40896666666666665,0.2800333333333333,score_exclusive_discount
206011,Medium Spenders,0.6333333333333333,0.09722222222222222,0.26666666666666666,0.27749999999999997,0.3725,score_exclusive_discount
216796,0,0.7,0.0,0.0,0.0,0.0,score_exclusive_discount
217114,0,0.5,0.0,0.0,0.0,0.0,score_exclusive_discount
217136,Low Spenders,0.33333333333333337,0.07936507936507936,0.1,0.3466666666666667,0.19499999999999998,score_free_meal
220725,Medium Spenders,0.5833333333333333,0.10736196319018404,0.28800000000000003,0.29436666666666667,0.4121888888888889,score_exclusive_discount
224996,Low Spenders,0.35714285714285715,0.07142857142857141,0.2,0.16166666666666665,0.18,score_exclusive_discount
226367,Medium Spenders,0.8571428571428572,0.0830367734282325,0.3786666666666667,0.33896666666666664,0.27919999999999995,score_exclusive_discount
228195,0,0.5,0.0,0.0,0.0,0.0,score_exclusive_discount
228872,Low Spenders,0.35714285714285715,0.110062893081761,0.3666666666666667,0.45166666666666666,0.24,score_free_meal
229009,Low Spenders,0.7857142857142857,0.06958250497017891,0.33333333333333337,0.25999999999999995,0.365,score_exclusive_discount
229330,Champions,0.2142857142857143,0.07838745800671892,0.232,0.3408333333333333,0.3675,score_free_night_flight
232647,Medium Spenders,0.35714285714285715,0.0813953488372093,0.3666666666666667,0.2783333333333333,0.22999999999999998,score_free_checkedbag
249521,Low Spenders,0.5666666666666667,0.07128309572301425,0.3666666666666667,0.33499999999999996,0.19,score_exclusive_discount
252835,High Spenders,0.4166666666666667,0.07829977628635346,0.36,0.29133333333333333,0.4595,score_free_night_flight
258451,0,0.6666666666666667,0.0,0.0,0.0,0.0,score_exclusive_discount
276512,At Risk,0.4,0.06255585344057193,0.4666666666666667,0.3233333333333333,0.09749999999999999,score_free_checkedbag
281952,Low Spenders,0.9285714285714286,0.08073817762399077,0.6000000000000001,0.3233333333333333,0.185,score_exclusive_discount
283325,High Spenders,0.5666666666666667,0.10736196319018404,0.1,0.37,0.205,score_exclusive_discount
290123,Champions,0.5,0.09283819628647215,0.33333333333333337,0.30707619047619045,0.5658444444444444,score_free_night_flight
297546,Champions,0.7142857142857143,0.10719754977029095,0.32533333333333336,0.42133333333333334,0.4895,score_exclusive_discount
298253,At Risk,0.4166666666666667,0.09333333333333332,0.7333333333333334,0.0,0.0875,score_free_checkedbag
